name,ingredients,ingredients_measurements,recipe,garnish,glass
kelsey's margarita,"agave syrup, grand marnier liqueur, lemon juice, lime juice, mezcal, reposado tequila, triple sec liqueur","[['4.5 cl', 'Reposado tequila (100% agave)'], ['0.5 cl', 'Agave syrup'], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['0.75 cl', 'Grand Marnier liqueur'], ['0.75 cl', 'Mezcal'], ['1.5 cl', 'Triple sec liqueur (40%)']]",SHAKE all ingredients with ice and strain into ice-filled glass.,Salt rim & lime wedge,Old-fashioned glass
rockin' red killer,"bianco vermouth, cappelletti aperitivo, gin, orange bitters, orange liqueur","[['2.25 cl', 'Gin'], ['2.25 cl', 'Bianco vermouth'], ['1.5 cl', 'Grand Marnier or other cognac orange liqueur'], ['2.25 cl', 'Cappelletti Aperitivo'], ['2 dash', 'Orange bitters']]",STIR all ingredients with ice and strain into chilled rocks glass over large block ice cube.,,Rocks glass
floradora,"homemade ginger juice syrup, lime juice, prairie organic gin 2013, raspberry sugar syrup, soda water","[['5.25 cl', 'Rutte Dry Gin'], ['2.25 cl', 'Lime juice (freshly squeezed)'], ['2.25 cl', 'Giffard Creme de Framboise'], ['Top up with', 'Thomas Henry Ginger Ale']]",SHAKE first three ingredients with ice and strain into ice-filled glass. TOP with ginger ale and lightly stir.,Raspberry and lime wedge,Collins glass
floradora,"homemade ginger juice syrup, lime juice, prairie organic gin 2013, raspberry sugar syrup, soda water","[['4.5 cl', 'Prairie Organic Gin 2013'], ['1.5 cl', 'Raspberry (framboise) sugar syrup'], ['3 cl', 'Homemade ginger juice syrup (1:1)'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['6 cl', 'Soda (club soda) water']]","Add Ingredients into shaker with ice. Shake vigorously for 25 seconds, strain into Highball glass with fresh ice. Top with Club Soda

*optional: Float 1/2 oz Butterfly Pea Tea on Top for a colorful variation",Raspberry wrapped in lime peel,Highball (max 10oz/300ml)
cut to the punch,"cut spiced rum, le sirop de monin cannelle sugar syrup, lime juice, orange bitters, orange juice, pataka fairtrade ginger liqueur","[['4.5 cl', 'Cut Spiced Rum'], ['1.5 cl', 'Pataka Fairtrade Ginger Liqueur'], ['1 cl', 'Le Sirop de Monin Cannelle (Cinnamon) Sugar Syrup'], ['2.25 cl', 'Lime juice (freshly squeezed)'], ['3 cl', 'Orange juice (freshly squeezed)'], ['2 dash', 'Orange Bitters by Angostura']]","Shake all ingredients with ice until well chilled, then fine strain into Tiki mug or tall glass filled with crushed ice",Lime wheels or wedges; and fresh mint,Tiki mug or collins
iron dangers,"'simple' sugar syrup, angostura aromatic bitters, bourbon whiskey, john d. taylor's velvet falernum liqueur, lemon juice, pineapple","[['6 cl', 'Bourbon whiskey'], ['2.25 cl', 'Lemon juice (freshly squeezed)'], ['3 cl', 'Pineapple (fresh)'], ['1.5 cl', ""John D. Taylor's Velvet Falernum Liqueur""], ['1.5 cl', ""'Simple' sugar syrup (1 sugar to 1 water)""], ['2 dash', 'Angostura Aromatic Bitters']]",Combine all ingredients in a mixing tin with 1/2 oz. pebble ice and shake to briefly chill and dilute. Strain into a chilled glass filled with pebble ice.,Cinnamon stick and mint sprig,Hurricane glass
swamp water,"'simple' sugar syrup, feijoa flavoured vodka, lillet rose, lime juice, midori melon liqueur","[['4.5 cl', 'Green Chartreuse liqueur'], ['12 cl', 'Pineapple juice (fresh pressed)'], ['1.5 cl', 'Lime juice (freshly squeezed)']]",SHAKE all ingredients with ice and strain into ice-filled glass.,Lime wedge & mint sprig,Collins glass
swamp water,"'simple' sugar syrup, feijoa flavoured vodka, lillet rose, lime juice, midori melon liqueur","[['3 cl', 'Midori Melon Liqueur'], ['3 cl', 'Lime juice (freshly squeezed)'], ['1.5 cl', 'Lillet Rosé'], ['3 cl', 'Feijoa flavoured vodka'], ['2 dash', ""'Simple' sugar syrup (1 sugar to 1 water)""]]",Shake and Double strain all ingredients,Lime Slice,Coupe glass
sloe daiquiri,"hibiscus sugar syrup, lime juice, sloe gin liqueur, sugar syrup","[['4.5 cl', 'Sloe Gin liqueur'], ['3 cl', 'Lime juice (freshly squeezed)'], ['1.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['1.5 cl', 'Hibiscus sugar syrup']]",Shake and Double strain all ingredients into a coupe glass,Lime Peel,Coupe glass
kyle's clubland cocktail,"'simple' sugar syrup, angostura or other aromatic bitters, dry white port, vodka","[['4.5 cl', 'Vodka'], ['4.5 cl', 'Dry white port'], ['1 dash', 'Angostura or other aromatic bitters'], ['1.5 cl', ""'Simple' sugar syrup (1 sugar to 1 water)""]]",STIR all ingredients with ice,Orange zest twist,Coupe glass
sean's coffee passion fruit cocktail,"gin, lemon juice, mr black coffee liqueur, passion fruit, passion fruit syrup","[['1 1⁄2 fresh', 'Passion fruit'], ['4.5 cl', 'Gin'], ['0.75 cl', 'Lemon juice (freshly squeezed)'], ['1.5 cl', 'Passion fruit syrup'], ['2 cl', 'Mr Black coffee liqueur']]","Cut passion fruit in half and scoop out the flesh into shaker. Or use a passion fruit pulp syrup. Add other ingredients, SHAKE with ice and fine strain into chilled glass.","Float half passion fruit - Or if you are going to drink this fast, float 2 coffee beans.",Martini (large 10oz) glass
bijou,"cocchi storico vermouth di torino, green chartreuse liqueur, sheringham seaside gin","[['3 cl', 'Sheringham Seaside Gin'], ['3 cl', 'Green (Verte) Chartreuse liqueur'], ['3 cl', 'Cocchi Storico Vermouth di Torino']]",STIR all ingredients with ice and strain into chilled glass. Squeeze lemon juice over the top,Maraschino Cherry,Coupe glass
italian gentleman,"bourbon whiskey, campari bitter liqueur, lemon juice, sugar syrup","[['6 cl', 'Bourbon whiskey'], ['1.5 cl', 'Campari Bitter liqueur'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['2.25 cl', 'Lemon juice (freshly squeezed)']]",Shake ingredients with ice and pour over large cube,Lemon peel,Absinthe glass or old-fashioned glass
jasmine,"campari bitter liqueur, gin, lemon juice, triple sec liqueur","[['4.5 cl', 'Rutte Dry Gin'], ['1.5 cl', 'Italian red bitter liqueur'], ['0.75 cl', 'De Kuyper Triple Sec (40%)'], ['2.25 cl', 'Lemon juice (freshly squeezed)'], ['0.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup) (optional)']]",SHAKE all ingredients with ice and fine strain into chilled glass.,Lemon zest twist,Coupe glass
jasmine,"campari bitter liqueur, gin, lemon juice, triple sec liqueur","[['4.5 cl', 'Gin'], ['1.5 cl', 'Campari Bitter liqueur'], ['1.5 cl', 'Triple sec liqueur (40%)'], ['1.5 cl', 'Lemon juice (freshly squeezed)']]",Shake with ice and pour into chilled glass,,Coupe glass
mister howell,"lime juice, maple syrup, straight rye whiskey, white 1-3 year old light rum","[['0.75 cl', 'Maple syrup'], ['0.75 cl', 'Straight rye whiskey (100 proof / 50% alc./vol.)'], ['2.25 cl', 'Lime juice (freshly squeezed)'], ['5.25 cl', 'White (charcoal-filtered) 1-3 year old light rum']]",Shake ingredients with ice and strain into glass,,Coupe glass
cherry blossom,"gin, honey, lemon juice, maraschino liqueur","[['2.25 cl', 'Cherry Heering cherry brandy liqueur'], ['2.25 cl', 'Kirschwasser (cherry) eau-de-vie'], ['1.5 cl', 'De Kuyper Triple Sec (40%)'], ['0.75 cl', 'Syrup from Luxardo Maraschino Cherries'], ['3.75 cl', 'Lemon juice (freshly squeezed)']]",SHAKE all ingredients with ice and fine strain into chilled glass.,Luxardo Maraschino cherry,Martini glass
cherry blossom,"gin, honey, lemon juice, maraschino liqueur","[['6 cl', 'Gin'], ['1.5 cl', 'Maraschino liqueur'], ['0.75 cl', 'Honey'], ['2.25 cl', 'Lemon juice (freshly squeezed)']]",Shake with ice and strain into glass,Maraschino cherry and/or flower peddles,Coupe glass
pink fizz,"gin, grenadine/pomegranate syrup, lime juice, orange bitters, soda water, triple sec liqueur","[['1.5 cl', 'Grenadine/pomegranate syrup (2:1)'], ['1.5 cl', 'Triple sec liqueur (40%)'], ['6 cl', 'Gin'], ['1 dash (4 drops)', 'Orange Bitters by Angostura'], ['3 cl', 'Lime juice (freshly squeezed)'], ['9 cl', 'Soda (club soda) water']]","Shake all ingredients except soda with ice.
Strain into glass with ice and top with soda",,Collins glass
whiskey smash,"bourbon whiskey, lemon, mint leaves, sugar syrup","[['10 fresh', 'Mint leaves'], ['6 cl', 'Bourbon whiskey'], ['2.25 cl', 'Lemon juice (freshly squeezed)'], ['1.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]",SHAKE all ingredients with ice and fine strain into ice-filled glass.,Lemon slice & mint sprig,Old-fashioned glass
whiskey smash,"bourbon whiskey, lemon, mint leaves, sugar syrup","[['6 unit', 'Mint leaves'], ['4 wedge', 'Lemon (fresh)'], ['1.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['6 cl', 'Bourbon whiskey']]","Put ingredients in glass and muddle.
Fill glass with ice",Mint leaves,Absinthe glass or old-fashioned glass
totally beachin',"dry vermouth, orange bitters, st-germain elderflower liqueur, vodka","[['6 cl', 'Vodka'], ['0.75 cl', 'Dry vermouth'], ['0.75 cl', 'St-Germain elderflower liqueur'], ['4 dash', 'Orange Bitters by Angostura']]","Combine all ingredients in a shaker, shake, pour into a chilled martini glass",Orange peel,Martini glass
angela's cuba libre,"cola, lime juice, white/gold 1-3 year old mellow light rum","[['5 cl', 'White/gold 1-3 year old mellow light rum'], ['12 cl', 'Cola (e.g. Coca Cola & Pepsi Cola)'], ['0.75 cl', 'Lime juice (freshly squeezed)']]",POUR ingredients into ice-filled glass and lightly stir.,Lime wedge,Collins glass
cherry cola,"beefeater london dry gin, cherry brandy liqueur, cranberry juice, disaronno amaretto, lime juice, salt, sirop de orgeat syrup, spiced rum, vanilla vodka","[['1.5 cl', 'Disaronno amaretto'], ['1.5 cl', 'Spiced rum'], ['1.5 cl', 'Beefeater London Dry Gin'], ['1.5 cl', 'Vanilla vodka'], ['1.5 cl', 'Cherry brandy liqueur'], ['1.5 cl', 'Giffard Sirop de Orgeat (Almond) Syrup'], ['3 cl', 'Lime juice (freshly squeezed)'], ['6 cl', 'Cranberry juice (sweetened)'], ['1 pinch', 'Salt']]",Shake all ingredients with ice and strain into ice-filled glass,Maraschino cherry and a haribo cherry,Hurricane glass
elin's bourbon old fashioned,"angostura or other aromatic bitters, bourbon whiskey, maraschino syrup, muscovado sugar syrup","[['6 cl', 'Bourbon whiskey'], ['0.75 cl', 'Muscovado sugar syrup (2 sugar to 1 water)'], ['3 dash', 'Angostura or other aromatic bitters'], ['0.75 cl', 'Maraschino (Marasca) syrup (from cherry jar)']]",STIR all ingredients with ice and orange zest and strain into Ice-filled glass (preferably over a chunk of block ice).,Orange zest twist,Old-fashioned glass
gingerbread lady,"baileys irish cream liqueur, gingerbread liqueur","[['3 cl', 'Baileys Irish cream liqueur'], ['3 cl', 'Gingerbread liqueur']]",Shake with ice and strain into an ice filled glass,Crushed ginger nut biscuits,Old-fashioned glass
after eight-thirty,"baileys irish cream liqueur, kendal mint cake liqueur","[['3 cl', 'Baileys Irish cream liqueur'], ['3 cl', 'Kendal Mint Cake Liqueur']]",Shake with ice. Pour into an ice filled glass.,After Eight Mint,Old-fashioned glass
james's the dante,"benedictine d.o.m., blanco tequila, green chartreuse liqueur, lime juice, sugar syrup","[['4 cl', 'Blanco tequila (100% agave)'], ['1 cl', 'Green Chartreuse liqueur'], ['1 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['2 cl', 'Lime juice (freshly squeezed)'], ['1 cl', 'Bénédictine D.O.M.']]",SHAKE all ingredients with ice and fine strain into chilled glass.,Float basil leaf boat,Coupe glass
fiona's nutty russian,"disaronno amaretto, tia maria liqueur, vodka","[['3 cl', 'Disaronno amaretto'], ['3 cl', 'Tia Maria liqueur'], ['6 cl', 'Vodka']]",STIR all ingredients with ice and strain into ice-filled glass.,Roasted Pecan nut on the rim,Old-fashioned glass
angela's mojito cocktail,"lime juice, mint leaves, soda water, sugar syrup, white 1-3 year old light rum","[['14 fresh', 'Mint leaves'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['1 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['4.5 cl', 'White (charcoal-filtered) 1-3 year old light rum'], ['Top up with', 'Soda (club soda) water']]","Add mint, lime juice, simple syrup and muddle. Add ice and rum, then stir. Top up with club soda and stir again.",Mint sprigs bouquet,Collins glass
mark's ruby,"bittersweet orange-red aperitivo, elderflower liqueur, grapefruit juice, lemon juice, pasteurised egg white, vodka","[['4.5 cl', 'Vodka'], ['2.25 cl', 'Elderflower liqueur'], ['1.5 cl', 'Bittersweet orange-red aperitivo'], ['2.25 cl', 'Grapefruit juice (ruby red)'], ['2.25 cl', 'Lemon juice (freshly squeezed)'], ['1.5 cl', 'Pasteurised egg white']]",SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into chilled glass.,Grapefruit zest twist,Coupe glass
embarcadero,"amaro nonino, rosso/rouge vermouth, rye whiskey","[['3 cl', 'Rye whiskey (90 proof / 45% alc./vol.)'], ['3 cl', 'Amaro Nonino'], ['3 cl', 'Rosso/rouge (sweet) vermouth']]","Add all ingredients into a rocks glass over a large ice cube and stir to combine.
Garnish with a lemon twist.",Lemon twist,Old-fashioned glass
orange old fashioned cocktail,"angostura aromatic bitters, bourbon whiskey, chilled water, demerara / dark muscovado / brown sugar, orange peel, triple sec liqueur","[['6 cl', 'Bourbon whiskey'], ['1.5 cl', 'Chilled water'], ['6 dash', 'Angostura Aromatic Bitters'], ['1 spoon', 'Demerara / dark Muscovado / brown sugar'], ['1 ring', 'Orange peel'], ['3 cl', 'Triple sec liqueur (40%)']]","Put a tsp of brown sugar in the glass and wet with bitters. Add bourbon, water, and triple sec. Stir till the sugar melts. Add large ice cube. Garnish with an orange peel.",Orange zest twist,Old-fashioned glass
asteroid,"amaretto liqueur, blended scotch whisky, kuromitsu japanese brown sugar syrup","[['6 cl', 'Blended Scotch whisky'], ['1⁄2 spoon', 'Amaretto liqueur'], ['0.5 cl', 'Kuromitsu Japanese brown sugar syrup']]",Stir all ingredients and strain into a glass.,Toasted Almond,Rocks glass
the green puritan,"chilled water, dry vermouth, gin, green chartreuse liqueur, orange bitters","[['5 cl', 'Gin'], ['1.5 cl', 'Dry vermouth'], ['1 dash', 'Orange bitters'], ['1 cl', 'Chilled water'], ['1 cl', 'Green (Verte) Chartreuse liqueur']]",STIR all ingredients with ice and strain into chilled glass.,Lemon zest twist,Martini glass
spiced espresso martini,"cinnamon stick, cold brew coffee, green cardamom pods, kahlua coffee liqueur, monin vanilla syrup, star anise, vanilla vodka","[['3 whole', 'Green cardamom pods'], ['1 whole', 'Star anise'], ['2 inch', 'Cinnamon stick'], ['4.5 cl', 'Vanilla vodka'], ['3 cl', 'Kahlúa coffee liqueur'], ['1.5 cl', 'Monin Vanilla Syrup'], ['6 cl', 'Cold brew coffee']]","Muddle cardamon pods in the base of the shaker, add the other ingredients and shake vigourously. Fine strain into a chilled glass.",Star anise,Martini glass
parma violet martini,"citron vodka, pear flavoured vodka, sauvignon blanc wine, the bitter truth creme de violette","[['2 cl', 'Absolut Citron Vodka'], ['2 cl', 'Pear flavoured vodka'], ['2 cl', 'The Bitter Truth Crème de Violette'], ['3 cl', 'Sauvignon blanc wine']]","Shake all ingredients with ice, and then double strain into chilled glass",Edible Flower,Martini glass
tangerine gimlet (inspired by schumann's gimlet),"gin, lime cordial, tangerine / mandarin / clementine juice","[['6 cl', 'Gin'], ['2.25 cl', 'Tangerine / Mandarin / Clementine juice (fresh juice)'], ['3.75 cl', 'Lime cordial (sweetened lime juice)']]",Shake all ingredients with ice and fine strain into chilled glass.,"Segment of Tangerine on the Rim, or Tangerine Zest",Coupe glass
sour poet,"benedictine d.o.m. liqueur, dry vermouth, gin, lime juice, orange bitters","[['3 cl', 'Gin'], ['1.5 cl', 'Bénédictine D.O.M. liqueur'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['1.5 cl', 'Dry vermouth'], ['2 dash', 'Orange Bitters by Angostura']]",STIR all ingredients with ice and strain into chilled glass.,Lemon zest twist and an ice cube.,Coupe glass
angela's hot buttered rum cocktail,"boiling water, caribbean blended rum aged 6-10 years, cinnamon powder, freshly grated nutmeg, honey, unsalted butter, vanilla extract","[['2 spoon', 'Honey'], ['1 knob', 'Unsalted butter'], ['6 cl', 'Caribbean blended rum aged 6-10 years'], ['2 pinch', 'Freshly grated nutmeg'], ['Top up with', 'Boiling water'], ['1 pinch', 'Cinnamon powder'], ['1 Splash', 'Vanilla extract']]",Place bar spoon loaded with honey in warmed glass. Add other ingredients and STIR until honey and butter are dissolved.,Cinnamon stick & lemon slice (studded with cloves),Toddy glass
christmas martini,"becherovka liqueur, cointreau triple sec liqueur, lemon juice, orange marmalade, tanqueray rangpur gin","[['1 spoon', 'Orange marmalade'], ['5 cl', 'Tanqueray Rangpur Gin'], ['1.5 cl', 'Cointreau triple sec liqueur'], ['1.5 cl', 'Becherovka liqueur'], ['1.5 cl', 'Lemon juice (freshly squeezed)']]","STIR marmalade with gin in base of shaker until it dissolves. Add other ingredients, SHAKE with ice and fine strain into chilled glass.",Dehydrated orange slices,Martini glass
samia's batida de morango,"cachaca, condensed milk, lejay creme de framboise liqueur, small ripe strawberries","[['6 cl', 'Cachaça'], ['12 fresh', 'Small ripe strawberries (hulled)'], ['1.5 cl', 'Condensed milk'], ['3 cl', 'Lejay Creme de Framboise (raspberry) Liqueur']]",BLEND all ingredients with 12oz scoop crushed ice. Serve with straws.,Strawberry,Collins glass
michael's millionaire,"absinthe, egg white, lemon juice, orange curacao liqueur, raspberry sugar syrup, straight rye whiskey","[['6 cl', 'Straight rye whiskey (100 proof / 50% alc./vol.)'], ['0.75 cl', 'Raspberry (framboise) sugar syrup'], ['0.75 cl', 'Lemon juice (freshly squeezed)'], ['2.25 cl', 'Orange Curaçao liqueur'], ['1.5 cl', 'Egg white'], ['2 dash', 'La Fée Parisienne absinthe']]","Rinse glass with absinthe, dry shake with egg, then shake with ice.",Dust with freshly grated nutmeg & optional small orange wedge on rim,Coupe glass
alpine ramble,"aalborg taffel akvavit, fee brothers west indian orange bitters, genepi liqueur, lemon juice, sugar syrup","[['4.5 cl', 'Aalborg Taffel Akvavit'], ['3 cl', 'Génépi liqueur'], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['1.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['1 dash (4 drops)', 'Fee Brothers West Indian Orange Bitters']]",SHAKE all ingredients with ice and fine strain into chilled glass.,Luxardo Maraschino Cherry,Coupe glass
joespresso,"disaronno velvet cream liqueur, espresso coffee concentrate, light rum, milk, single cream / half-and-half","[['3 cl', 'Bacardi Carta Blanca light rum'], ['6 cl', 'Disaronno Velvet cream liqueur'], ['3 cl', 'Espresso coffee concentrate'], ['Top up with', 'Milk (whole milk/full 3-4% fat)'], ['3 cl', 'Single cream / half-and-half']]","Add all ingredients over ice, shake and strain into ice filled glass",Cocoa powder,Jam jar glass
aldo's francophile martini,"bianco vermouth, cointreau triple sec liqueur, gin, pineapple juice, vodka","[['2.5 cl', 'Gin'], ['2.5 cl', 'Vodka'], ['1 cl', 'Bianco vermouth'], ['3 cl', 'Pineapple juice (fresh pressed)'], ['1 cl', 'Cointreau triple sec liqueur']]",SHAKE all ingredients with ice and fine strain into chilled glass.,Pineapple or orange wedge on rim,Martini glass
aldo's paddington bear martini cocktail,"bianco vermouth, cachaca, gin, orange marmalade","[['2 spoon', 'Orange marmalade'], ['5.25 cl', 'Gin'], ['1.5 cl', 'Bianco vermouth'], ['2.25 cl', 'Cachaça']]",SHAKE all ingredients with ice and fine strain into chilled glass.,Orange zest twist,Martini glass
affogato cocktail,"cocoa bitters, cognac, mr black coffee liqueur, vanilla ice-cream","[['4.5 cl', 'Bepi Tosolini Grappa di Moscato'], ['1.5 cl', 'Coffee liqueur'], ['1.5 cl', 'De Kuyper Brown Crème de Cacao'], ['3 cl', 'Espresso coffee (freshly made & hot)'], ['1 scoop', 'Vanilla ice-cream']]",BLEND all ingredients with three cubes ice.,Float 3 coffee beans,Coupe glass
affogato cocktail,"cocoa bitters, cognac, mr black coffee liqueur, vanilla ice-cream","[['3 cl', 'Mr Black coffee liqueur'], ['3 cl', 'Cognac'], ['1 scoop', 'Vanilla ice-cream'], ['2 dash', 'Cocoa bitters']]",Shake without ice until ice cream is melted,Grated chocolate and orange peel,Nick & Nora glass
rakky's tommy's margarita,"lime juice, maple syrup, reposado tequila","[['6 cl', 'Reposado tequila (100% agave)'], ['3 cl', 'Lime juice (freshly squeezed)'], ['0.35 cl', 'Maple syrup']]",SHAKE all ingredients with ice and fine strain into chilled glass.,Lime wedge,Old-fashioned glass
the underdog,"drambuie liqueur, dry vermouth, fernet liqueur, gin, lemon peel","[['2 cl', 'Drambuie liqueur'], ['1.5 cl', 'Fernet liqueur'], ['2 cl', 'Dry vermouth'], ['1.5 cl', 'Gin'], ['1 slice', 'Lemon peel']]",Pour all ingredients into a tumbler filled with ice. Stir until the outside of the glass starts frosting up. Strain into ice-filled glass. Squeeze the lemon peel skin-side out over the glass to release the aroma. Garnish with the lemon peel.,Garnish with a lemon peel,Old-fashioned glass
the prospector - adapted,"dr. adam elmegirab's spanish bitters, honey syrup, lime juice, speyside single malt scotch whisky","[['5 cl', 'Speyside single malt Scotch whisky'], ['2 cl', 'Lime juice (freshly squeezed)'], ['2 cl', 'Honey syrup (3 honey to 1 water)'], ['2 dash', ""Dr. Adam Elmegirab's Spanish bitters""]]",SHAKE all ingredients with ice and fine strain into chilled glass.,dry lime wheel,Coupe glass
robert e. abbott's rabo-de-galo,"cynar or other carciofo amaro, hopped grapefruit bitters, rainwater/verdelho med-dry madeira, rosso/rouge vermouth","[['1.5 cl', 'Rosso/rouge (sweet) vermouth'], ['1.5 cl', 'Cynar or other carciofo amaro'], ['1 dash', 'Hopped grapefruit bitters'], ['5 cl', 'Rainwater/Verdelho med-dry madeira']]",THROW OR STIR (or even shake) all ingredients with ice and strain into ice-filled glass.,Orange zest twist,Old-fashioned glass
jonathan lowery's five keys,"bourbon whiskey, cynar or other carciofo amaro, maraschino liqueur, rosso/rouge vermouth","[['2.25 cl', 'Rosso/rouge (sweet) vermouth'], ['0.75 cl', 'Maraschino liqueur'], ['0.75 cl', 'Cynar or other carciofo amaro'], ['6 cl', 'Bourbon whiskey']]",STIR all ingredients with ice and strain into chilled glass.,Luxardo Maraschino cherry,Old-fashioned glass
helena's lemon drop martini,"grand marnier liqueur, lemon juice, limoncello liqueur, vodka","[['3 cl', 'Vodka'], ['3 cl', 'Limoncello liqueur'], ['1.5 cl', 'Grand Marnier liqueur'], ['3 cl', 'Lemon juice (freshly squeezed)']]",SHAKE all ingredients with ice and fine strain into chilled glass.,Lemon zest twist. Rim glass with sugar.,Martini glass
five-three-five,"americano bianco, dry gin, green melon liqueur, martini extra dry vermouth, suze gentian liqueur","[['3 cl', 'Rutte Dry Gin'], ['2 cl', 'Suze gentian liqueur'], ['1 cl', 'Green melon liqueur'], ['1 cl', 'Americano Bianco'], ['2 cl', 'Martini Extra Dry vermouth']]",STIR all ingredients with ice and strain into chilled glass.,,Old-fashioned glass
greek spritz,"aperol aperitivo, lime juice, mint leaves, prosecco sparkling wine, skinos mastiha, tangerine / mandarin / clementine juice","[['5 cl', 'Aperol Aperitivo'], ['2.5 cl', 'Skinos Mastiha'], ['2.5 cl', 'Tangerine / Mandarin / Clementine juice (fresh juice)'], ['2 cl', 'Lime juice (freshly squeezed)'], ['Top up with', 'Prosecco sparkling wine'], ['1 cupful', 'Mint leaves']]",Shake well and strain into large wine glass,mint sprigs lime wedge,Large wine glass
duncan's dolce-amaro,"amaretto liqueur, cynar ricetta originale artichoke amaro liqueur, dry vermouth","[['2.25 cl', 'Amaretto liqueur'], ['4.5 cl', 'Dry vermouth'], ['4.5 cl', 'Cynar Ricetta Originale Artichoke Amaro Liqueur']]",STIR all ingredients with ice and strain into chilled glass.,Orange zest twist,Coupe glass
sweet release #46-49,"double cream / heavy cream, irish cream liqueur, milk, smirnoff red label no. 21 vodka, somrus chai cream liqueur, tia maria liqueur","[['3 cl', 'Sōmrus Chai cream liqueur'], ['3 cl', 'Tia Maria liqueur'], ['3 cl', 'Irish cream liqueur'], ['3 cl', 'Smirnoff Red Label No. 21 Vodka'], ['3 cl', 'Double cream / heavy cream'], ['3 cl', 'Milk (semi-skimmed/2% fat)']]",SHAKE all ingredients with ice and strain into glass filled with crushed ice.,Dust with cocoa powder.,Large wine glass
waldorf cocktail no.5,"absinthe verte, orange bitters, rosso/rouge vermouth, rye whiskey","[['3 cl', 'Rosso/rouge (sweet) vermouth'], ['0.5 cl', 'Absinthe verte'], ['2 dash', 'Orange bitters'], ['6 cl', 'Rye whiskey (90 proof / 45% alc./vol.)']]",STIR all ingredients with ice and strain into chilled glass,Orange zest twist,Coupe glass
aldo's killer in red,"bianco vermouth, gin, italian red bitter liqueur, orange liqueur","[['2.25 cl', 'Italian red bitter liqueur'], ['2.25 cl', 'Gin'], ['2.25 cl', 'Bianco vermouth'], ['1.5 cl', 'Grand Marnier or other cognac orange liqueur']]",STIR all ingredients with ice and strain into chilled glass.,No garnish,Coupe glass
prickly pear mule - kelsey's version,"angostura or other aromatic bitters, ginger beer, lemon juice, pear juice, rare pear brandy","[['9 cl', 'Pear juice (freshly pressed)'], ['2 dash', 'Angostura or other aromatic bitters'], ['Top up with', 'Ginger beer'], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['5.25 cl', 'Rare Pear Brandy']]",SHAKE first five ingredients with ice and strain into ice-filled glass. TOP with ginger beer.,Pear slice,Collins glass
um bongo,"apricot liqueur, creme de banane liqueur, lime, passion fruit puree, pineapple juice, sugar syrup, vanilla vodka","[['3 cl', 'Vanilla vodka'], ['1.5 cl', 'Apricot (brandy) liqueur'], ['1.5 cl', 'Crème de banane liqueur'], ['3 cl', 'Passion fruit puree'], ['1.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['1 wedge', 'Lime (fresh)'], ['Top up with', 'Pineapple juice (fresh pressed)']]",ADD first six ingredients to a shaker and shake with ice. Strain into an ice-filled glass and top with pineapple juice.,"Pineapple wedge, or other tropical fruit",Hurricane glass
industry sour,"'simple' sugar syrup, fernet branca digestive bitter liqueur, green chartreuse liqueur, lime juice","[['3 cl', 'Green (Verte) Chartreuse liqueur'], ['3 cl', 'Fernet Branca digestive bitter liqueur'], ['3 cl', 'Lime juice (freshly squeezed)'], ['3 cl', ""'Simple' sugar syrup (1 sugar to 1 water)""]]",Shake all ingredients with ice. Strain into coupe glass.,Your choice.,Coupe glass
patrick's naughty charles,"blended scotch whisky, cherry brandy liqueur, dry vermouth, orange bitters, white creme de cacao liqueur","[['4.5 cl', 'Blended Scotch whisky'], ['1 cl', 'Cherry brandy liqueur'], ['1 cl', 'White crème de cacao liqueur'], ['1.5 cl', 'Dry vermouth'], ['2 dash', 'Orange bitters']]",STIR all ingredients with ice and strain into chilled glass.,Lemon zest twist STIR all ingredients with ice and strain into chilled glass.,Nick & Nora glass
it's all greek to me,"lemon juice, o/purist tsipouro, skinos mastiha, sugar syrup","[['5 cl', 'O/Purist Tsipouro'], ['1 cl', 'Skinos Mastiha'], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['1 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]",SHAKE all ingredients with ice and fine strain into chilled glass.,Lemon zest twist,Coupe glass
